;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
309;5,593279925;2,697273099;0,864426642;1;;;;;;;;;;;;;
310;1,880859972;1,506950942;-0,373046676;1;;;;;;;;;;;;;
311;7,081868688;3,440455377;1,360622896;1;;;;;;;;;;;;;
312;3,901047971;2,321214619;0,300349324;1;;;;;;;;;;;;;
313;10,74765427;5,219485214;2,582551423;1;;;;;;;;;;;;;
314;4,777135486;3,010002625;0,592378495;1;;;;;;;;;;;;;
315;1,601180855;1,306325107;-0,466273048;1;;;;;;;;;;;;;
316;1,423720131;1,59732976;-0,525426623;1;;;;;;;;;;;;;
317;1,151167831;1,009020126;-0,61627739;1;;;;;;;;;;;;;
318;6,752948305;3,367040379;1,250982768;1;;;;;;;;;;;;;
319;1,906254001;1,635626709;-0,364582;1;;;;;;;;;;;;;
320;2,70109977;1,601391231;-0,09963341;1;;;;;;;;;;;;;
321;7,130291392;4,014948851;1,376763797;1;;;;;;;;;;;;;
322;5,466584886;3,406890046;0,822194962;1;;;;;;;;;;;;;
323;3,524509422;2,005644033;0,174836474;1;;;;;;;;;;;;;
324;3,158208465;2,177898322;0,052736155;1;;;;;;;;;;;;;
325;0,837380048;0,946176018;-0,720873317;0;;;;;;;;;;;;;
326;2,455095874;1,495975583;-0,181634709;1;;;;;;;;;;;;;
327;5,184356324;2,623543294;0,728118775;1;;;;;;;;;;;;;
328;4,586854341;2,44189669;0,528951447;1;;;;;;;;;;;;;
329;3,092261499;1,873177188;0,030753833;1;;;;;;;;;;;;;
330;2,003646542;1,515732015;-0,332117819;1;;;;;;;;;;;;;
331;3,611474542;2,104687553;0,203824847;1;;;;;;;;;;;;;
332;5,49493715;3,00665324;0,831645717;1;;;;;;;;;;;;;
333;4,959880067;2,875920121;0,653293356;1;;;;;;;;;;;;;
334;3,87327303;2,10458215;0,29109101;1;;;;;;;;;;;;;
335;0,237249136;1,108681052;-0,920916955;0;;;;;;;;;;;;;
336;0,879430086;1,082025596;-0,706856638;1;;;;;;;;;;;;;
